URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CACHE_CONTROL,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPROV,WHOIS_REGDATE,UPDATE_DATE,WHITIN_DOMAIN,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,UDP_PACKETS,TCP_URG_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,TIPO
M0_109,16,7,iso-8859-1,nginx,None,263,None,None,10/10/2015 18:21,None,wp9.ru,7,0,2,700,0,0,9,10,1153,832,9,2,Maligna
B0_2314,16,6,UTF-8,Apache/2.4.10,max-age=0; must-revalidate; public; s-maxage=86000,15087,None,None,None,None,siff.bg,17,7,4,1230,0,0,17,19,1265,1230,17,0,Benigna
B0_911,16,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,None,None,None,None,esu.edu,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_113,17,6,ISO-8859-1,nginx,None,162,US,AK,7/10/1997 4:00,12/09/2013 0:45,aste.org,31,22,3,3812,0,0,39,37,18784,4380,39,8,Benigna
B0_403,17,6,UTF-8,None,max-age=269; must-revalidate,124140,US,TX,12/05/1996 0:00,11/04/2017 0:00,kksf.com,57,2,5,4278,0,0,61,62,129889,4586,61,4,Benigna
B0_2064,18,7,UTF-8,nginx,None,NA,SC,Mahe,3/08/2016 14:30,3/10/2016 3:45,gl-ks.org,11,6,9,894,0,0,11,13,838,894,11,0,Benigna
B0_462,18,6,iso-8859-1,Apache/2,None,345,US,CO,29/07/2002 0:00,1/07/2016 0:00,wsims.com,12,0,3,1189,0,0,14,13,8559,1327,14,2,Benigna
B0_1128,19,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,FL,18/03/1997 0:00,19/03/2017 0:00,hfcuvt.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M2_17,20,5,utf-8,nginx/1.10.1,None,NA,None,None,8/11/2014 7:41,None,zabava-bel.ru,0,0,0,0,0,0,2,3,213,146,2,2,Maligna
M3_75,20,5,utf-8,nginx/1.10.1,None,NA,None,None,8/11/2014 7:41,None,zabava-bel.ru,0,0,0,0,0,0,2,1,62,146,2,2,Maligna
B0_1013,20,6,utf-8,Apache,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,NA,US,Kansas,14/09/2007 0:00,9/09/2015 0:00,kctribe.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1102,20,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,CO,22/11/2016 0:00,23/11/2016 0:00,judgeco.com,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_22,20,7,utf-8,None,no-cache; no-store; must-revalidate; max-age=0,13716,GB,None,11/10/2002 0:00,6/10/2016 0:00,ac-cars.com,16,6,8,1492,0,0,20,20,2334,1784,20,4,Benigna
B0_482,20,6,ISO-8859-1,nginx,no-store; no-cache; must-revalidate; post-check=0; pre-check=0,3692,None,None,14/11/2002 0:00,19/04/2015 0:00,bandmix.com,25,19,4,3946,0,0,35,29,16408,4746,35,10,Benigna
B0_869,20,7,ISO-8859-1,Apache/2.2.15 (Red Hat),None,13054,None,None,None,None,uark.edu,0,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_71,21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,None,957,UK,None,16/07/2000 0:00,4/07/2015 0:00,purethc.com,7,0,1,717,0,0,11,10,1960,1011,11,4,Maligna
M0_97,21,7,iso-8859-1,nginx,None,686,RU,Novosibirskaya obl.,25/05/2013 0:00,23/05/2016 0:00,pokachi.net,6,0,2,603,0,0,8,9,1580,745,8,2,Maligna
B0_2303,21,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,None,None,9/08/1999 0:00,10/02/2015 0:00,radudley.com,7,7,3,618,0,0,7,9,562,618,7,0,Benigna
B0_584,21,6,utf-8,nginx,max-age=900; public,15025,None,None,None,None,northern.edu,13,1,5,1099,0,0,15,17,15476,1243,15,2,Benigna
